"group"	"gene"
"VEGF signaling pathway"	"50487"
"VEGF signaling pathway"	"5290"
"VEGF signaling pathway"	"5291"
"VEGF signaling pathway"	"5293"
"VEGF signaling pathway"	"5294"
"VEGF signaling pathway"	"5295"
"VEGF signaling pathway"	"5296"
"VEGF signaling pathway"	"5319"
"VEGF signaling pathway"	"5320"
"VEGF signaling pathway"	"5321"
"VEGF signaling pathway"	"5322"
"VEGF signaling pathway"	"5335"
"VEGF signaling pathway"	"5336"
"VEGF signaling pathway"	"5532"
"VEGF signaling pathway"	"5533"
"VEGF signaling pathway"	"5534"
"VEGF signaling pathway"	"5535"
"VEGF signaling pathway"	"5579"
"VEGF signaling pathway"	"5582"
"VEGF signaling pathway"	"5595"
"VEGF signaling pathway"	"5600"
"VEGF signaling pathway"	"5603"
"VEGF signaling pathway"	"5605"
"VEGF signaling pathway"	"5747"
"VEGF signaling pathway"	"5829"
"VEGF signaling pathway"	"5880"
"VEGF signaling pathway"	"5881"
"VEGF signaling pathway"	"6300"
"VEGF signaling pathway"	"63928"
"VEGF signaling pathway"	"64600"
"VEGF signaling pathway"	"6714"
"VEGF signaling pathway"	"7422"
"VEGF signaling pathway"	"7867"
"VEGF signaling pathway"	"81579"
"VEGF signaling pathway"	"8398"
"VEGF signaling pathway"	"8399"
"VEGF signaling pathway"	"84647"
"VEGF signaling pathway"	"8503"
"VEGF signaling pathway"	"8681"
"VEGF signaling pathway"	"8877"
"VEGF signaling pathway"	"9047"
"VEGF signaling pathway"	"9261"
"VEGF signaling pathway"	"998"
"Adherens junction"	"10163"
"Adherens junction"	"10458"
"Adherens junction"	"10580"
"Adherens junction"	"10810"
"Adherens junction"	"117178"
"Adherens junction"	"1457"
"Adherens junction"	"1459"
"Adherens junction"	"1460"
"Adherens junction"	"1495"
"Adherens junction"	"1496"
"Adherens junction"	"1499"
"Adherens junction"	"1500"
"Adherens junction"	"1956"
"Adherens junction"	"2033"
"Adherens junction"	"2064"
"Adherens junction"	"2241"
"Adherens junction"	"2260"
"Adherens junction"	"2534"
"Adherens junction"	"25945"
"Adherens junction"	"29119"
"Adherens junction"	"3480"
"Adherens junction"	"3643"
"Adherens junction"	"387"
"Adherens junction"	"4008"
"Adherens junction"	"4088"
"Adherens junction"	"4233"
"Adherens junction"	"4301"
"Adherens junction"	"52"
"Adherens junction"	"56288"
"Adherens junction"	"5770"
"Adherens junction"	"5777"
"Adherens junction"	"5787"
"Adherens junction"	"5792"
"Adherens junction"	"5795"
"Adherens junction"	"5797"
"Adherens junction"	"5818"
"Adherens junction"	"5819"
"Adherens junction"	"5879"
"Adherens junction"	"5880"
"Adherens junction"	"5881"
"Adherens junction"	"60"
"Adherens junction"	"6714"
"Adherens junction"	"6932"
"Adherens junction"	"6934"
"Adherens junction"	"7046"
"Adherens junction"	"7048"
"Adherens junction"	"7082"
"Adherens junction"	"71"
"Adherens junction"	"7414"
"Adherens junction"	"7454"
"Adherens junction"	"7525"
